;nome_do_indicador;tema_(s);periodicidade;fonte;fonte_ibge;ultima_atualizacao;offset;ano_atual;atualizado;atualizado_txt;ultimo_ano_atualizavel;delay_atualizacao
32;16.01.06 Número de roubos no município;Direitos Humanos e Cidadania,ODS São Paulo,Segurança e Violência;anual;"Secretaria de Segurança Pública (SSP); Secretaria Municipal de Direitos Humanos e Cidadania (SMDHC)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
33;09.01.05 Número de pontes, viadutos, passarelas e/ou túneis recuperados;ODS São Paulo,Zeladoria;anual;Secretaria Municipal de Infraestrutura Urbana e Obras (SIURB);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
34;17.04.03 Dívida Consolidada Líquida (DCL) do município (R$);Finanças Públicas,ODS São Paulo;anual;Secretaria Municipal da Fazenda (SF);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
35;Alunos do Ensino Fundamental que utilizam Transporte Escolar Gratuito (%);Educação;anual;Secretaria Municipal de Educação (SME);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
36;16.05.03 Nota média de eficiência da Administração Municipal (0 a 10) na implementação do Programa de Integridade;Gestão Pública,ODS São Paulo;anual;"Controladoria Geral do Município (CGM); Coordenadoria de Promoção da Integridade (COPI)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
37;Proporção de empregos formais na Indústria de Transformação do Município (%);Economia Trabalho e Renda;anual;RAIS;False;2020.0;1.0;2022;False;Não;2021.0;-1.0
38;04.03.02 Número de vagas na Rede Uniceu para Bacharelado e Licenciatura;Educação,ODS São Paulo;anual;Secretaria Municipal de Educação (SME);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
39;12.05.11 Total de resíduos gerados per capita (ton);Meio Ambiente,ODS São Paulo;anual;"Autoridade Municipal de Limpeza Urbana (Amlurb); Secretaria Municipal das Subprefeituras (SMSUB)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
40;Coleta de resíduos em limpeza de boca de lobo (ton);Meio Ambiente,Zeladoria;anual;"Secretaria Municipal das Subprefeituras (SMSUB); Autoridade Municipal de Limpeza Urbana (Amlurb)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
41;17.17.01 Número de Organizações da Sociedade Civil no Cadastro Único das Entidades Parceiras do Terceiro Setor;Gestão Pública,ODS São Paulo;anual;"Cadastro Único das Entidades Parceiras do Terceiro Setor (CENTS), Coordenação de Parcerias com o Terceiro Setor - COPATS, Secretaria Executiva de Gestão - SEGES; Secretaria do Governo Municipal (SGM)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
42;15.01.02 Área do MSP correspondente a Unidades de Conservação de Proteção Integral (%);Meio Ambiente,ODS São Paulo;anual;SVMA / CPA / DIA;False;2020.0;1.0;2022;False;Não;2021.0;-1.0
43;Número de mortes no trânsito;Mobilidade e Segurança no Trânsito;anual;"Secretaria de Segurança Pública (SSP); Companhia de Engenharia de Tráfego (CET); Secretaria Municipal de Mobilidade e Transportes (SMT)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
44;Valor arrecadado de dívida ativa;Finanças Públicas;anual;Sistema da Dívida Ativa (Procuradoria Geral do Município) e Sistema do PPI (Secretaria da Fazenda);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
45;16.02.02 Número de Adolescentes cumprindo medidas socioeducativas em meio aberto (liberdade assistida e prestação de serviços à comunidade);Assistência Social,ODS São Paulo;anual;Secretaria Municipal de Assistência e Desenvolvimento Social (SMADS);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
46;16.07.03 Percentual de Secretarias municipais com Conselhos com participação da sociedade civil (%);Gestão Pública,ODS São Paulo;anual;"Coordenadoria de Gestão de Desenvolvimento Institucional, da Secretaria Municipal de Gestão - COGEDI/SG; Secretaria do Governo Municipal";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
47;05.04.02 Horas semanais dedicadas ao trabalho doméstico não remunerado por mulheres;Economia Trabalho e Renda,ODS São Paulo;anual;"IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua Anual - 5ª visita; SMDET";True;2019.0;1.0;2022;False;Não;2021.0;-2.0
48;05.02.02 Número de atendimentos realizados pela Casa da Mulher Brasileira;Direitos Humanos e Cidadania,ODS São Paulo;anual;Secretaria Municipal de Direitos Humanos e Cidadania (SMDHC);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
49;11.02.04 Índice de Qualidade do Transporte (IQT);Mobilidade e Segurança no Trânsito,ODS São Paulo;anual;"SPtrans; Secretaria Municipal de Mobilidade e Transportes (SMT)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
50;03.03.02 Percentual de pessoas vivendo com HIV diagnosticadas em tratamento com medicamentos antirretrovirais - ARV (%);ODS São Paulo,Saúde;anual;"Ministério da Saúde (MS); Departamento de Doenças de Condições Crônicas e Infecções Sexualmente Transmissíveis (DCCI); Sistema de Monitoramento Clínico das Pessoas Vivendo com HIV/aids (SIMC); Sistema de Controle Logístico de Medicamentos (SICLOM); Secretaria Municipal da Saúde (SMS)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
51;03.02.01 Taxa de mortalidade infantil (por mil nascidos vivos);ODS São Paulo,PPA 2018-2021,Saúde;anual;"Sistema de Informações sobre Mortalidade (SIM); Sistema de Informações sobre Nascidos Vivos (SINASC); Secretaria Municipal da Saúde (SMS)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
52;11.01.03 Número de Unidades Habitacionais entregues (por meio de programas habitacionais e parcerias firmadas);Moradia e Saneamento Básico,ODS São Paulo;anual;Secretaria Municipal de Habitação (SEHAB);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
53;Proporção de empregos formais no Comércio do Município (%);Economia Trabalho e Renda;anual;"Secretaria Municipal do Desenvolvimento Econômico e do Trabalho (SMDET); Relação Anual de Informações Sociais (RAIS)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
54;05.05.04 Percentual de Servidoras municipais ativas pretas (%);Gestão Pública,ODS São Paulo;anual;Secretaria do Governo Municipal (SGM);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
55;Mortes de ocupantes de veículos no trânsito (por 10 mil veículos);Mobilidade e Segurança no Trânsito;anual;"Coordenadoria Estadual de Trânsito de São Paulo (DETRAN-SP); Secretaria de Segurança Pública (SSP); Companhia de Engenharia de Tráfego (CET); Secretaria Municipal de Mobilidade e Trânsito (SMT)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
56;03.07.01 Número de métodos contraceptivos reversíveis de longa duração disponibilizados (LARC: DIU, implante, SIU, LNG) por ano;ODS São Paulo,Saúde;anual;Secretaria Municipal da Saúde (SMS);False;2019.0;1.0;2022;False;Não;2021.0;-2.0
57;Taxa de internações por condições sensíveis à atenção primária do Sistema Único de Saúde (por 10000 habitantes);Saúde;anual;"Sistema de Informações Hospitalares do Sistema Único de Saúde (SIHSUS); Fundação Sistema Estadual de Análise de Dados (SEADE); Secretaria Municipal de Saúde (SMS)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
58;Responsáveis por domicílios sem rendimento (%);Economia Trabalho e Renda;decenal;Instituto Brasileiro de Geografia e Estatística (IBGE);True;2010.0;10.0;2022;False;Não;2012.0;-2.0
59;Equipamentos públicos municipais de cultura (por 100 mil habitantes);Cultura,PPA 2018-2021;anual;"Instituto Brasileiro de Geografia e Estatística (IBGE); Fundação Sistema Estadual de Análise de Dados (SEADE); Secretaria Municipal de Cultura (SMC); Secretaria Municipal de Urbanismo e Licenciamento (SMUL)";True;2019.0;1.0;2022;False;Não;2021.0;-2.0
60;16.10.04 Percentual de sites da Prefeitura de São Paulo que possuem avatar de tradução para Libras (%);Acessibilidade e Pessoa com Deficiência,Gestão Pública,ODS São Paulo;anual;Secretaria Municipal da Pessoa com Deficiência (SMPED);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
61;Proporção de Domicílios não conectados a rede geral de Água (%);Moradia e Saneamento Básico;decenal;Instituto Brasileiro de Geografia e Estatística (IBGE);True;2010.0;10.0;2022;False;Não;2012.0;-2.0
62;16.08.01 Participação da cidade de São Paulo em conselhos, diretorias e cargos de liderança em instituições multilaterais internacionais e redes internacionais de cidades;Gestão Pública,ODS São Paulo;anual;Secretaria Municipal de Relações Internacionais (SMRI);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
63;17.17.02 Organizações Sociais qualificadas no Município de São Paulo;Gestão Pública,ODS São Paulo;anual;"Coordenação de Parcerias com o Terceiro Setor - COPATS, Secretaria Executiva de Gestão - SEGES; Secretaria do Governo Municipal (SGM)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
64;Tempo médio de atendimento para análises clínicas (adulto e infantil) - Exames Bioquímicos;PPA 2018-2021,Saúde;anual;Secretaria Municipal da Saúde (SMS), Sistema Integrado de Gestão da Assistência à Saúde/SIGA-Saúde SP;False;2021.0;1.0;2022;True;Sim;2021.0;0.0
65;Passageiros por veículo da frota municipal de transporte (por dia);Mobilidade e Segurança no Trânsito;anual;"Secretaria Municipal de Mobilidade e Transportes (SMT); São Paulo Transporte (SPTrans)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
66;Despesa realizada pela Prefeitura Municipal de São Paulo com a função orçamentária Encargos Especiais (%);Finanças Públicas;anual;Secretaria Municipal da Fazenda (SF);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
67;Área de calçadas requalificadas (m2);PPA 2018-2021,Zeladoria;anual;Secretaria Municipal das Subprefeituras (SMSUB);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
68;Alunos da rede municipal de ensino da raça/cor branca (%);Educação;anual;Secretaria Municipal de Educação (SME);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
69;Número de matrículas em tempo integral nas escolas públicas municipais de Educação Infantil;Educação;anual;"Censo do Ministério da Educação (MEC); Secretaria Municipal da Educação (SME)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
70;12.05.12 Resíduos coletados destinados aos aterros sanitários (ton);Meio Ambiente,ODS São Paulo;anual;"Autoridade Municipal de Limpeza Urbana (Amlurb); Secretaria Municipal das Subprefeituras (SMSUB)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
71;09.0c.03 Pessoas atendidas pela rede pública de laboratórios de fabricação digital FAB LAB;Gestão Pública,ODS São Paulo;anual;Secretaria Municipal de Inovação e tecnologia (SMIT);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
72;Quantidade de empréstimos de livros e outros itens realizados pelas bibliotecas municipais e pontos de leitura;Cultura;anual;Secretaria Municipal de Cultura (SMC) - Coordenação do Sistema Municipal de Bibliotecas (CSMB) - Supervisão de Planejamento.;False;2021.0;1.0;2022;True;Sim;2021.0;0.0
73;11.05.03 Número de ocorrências atendidas – inundação;ODS São Paulo,Zeladoria;anual;"Defesa Civil - Secretaria de Segurança Urbana (SMSU); Defesa Civil - SMSU - SIGRC";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
74;03.04.01 Taxa de Mortalidade prematura (de 30 a 69 anos) pelo conjunto de quatro DCNTs (Doenças do aparelho circulatório, câncer, diabetes e doenças respiratórias crônicas);ODS São Paulo,PPA 2018-2021,Saúde;anual;"Sistema de Informação Sobre Mortalidade (SIM); Fundação Sistema Estadual de Análise de Dados (SEADE)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
75;Proporção de empregos formais na Construção Civil do Município em relação à Construção Civil do Estado (%);Economia Trabalho e Renda;anual;"Relação Anual de Informações Sociais (RAIS); Secretaria Municipal de Desenvolvimento Econômico e Trabalho (SMDET)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
76;17.01.06 Total de Receitas Arrecadadas com Impostos pelo Município (em bilhões de reais);Finanças Públicas,ODS São Paulo;anual;Secretaria Municipal da Fazenda (SF);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
77;03.07.02 Proporção de gestantes adolescentes (%);ODS São Paulo,Saúde;anual;"Sistema de Informações sobre Nascidos Vivos (SINASC); Secretaria Municipal da Saúde (SMS)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
78;Alunos por turma do ensino médio da rede pública municipal;Educação;anual;Secretaria Municipal de Educação (SME);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
79;12.08.03 Atividades oferecidas por ano pela Universidade Aberta do Meio Ambiente e Cultura de Paz – UMAPAZ;Meio Ambiente,ODS São Paulo;anual;Secretaria Municipal do Verde e Meio Ambiente (SVMA);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
80;17.11.01 Valor total das exportações da indústria de transformação no Município (em bilhões US$);Economia Trabalho e Renda,ODS São Paulo;anual;Ministério da Economia. Subsecretaria de Inteligência e Estatísticas de Comércio Exterior. SISCOMEX. Disponível em: http://comexstat.mdic.gov.br/pt/comex-vis;False;2020.0;1.0;2022;False;Não;2021.0;-1.0
81;11.02.01 Participação dos modos coletivos de transporte dentro da matriz dos transportes motorizados (%);Mobilidade e Segurança no Trânsito,ODS São Paulo;decenal;"Pesquisa Origem-Destino Metrô SP; Secretaria Municipal de Mobilidade e Trânsito (SMT)";False;2017.0;10.0;2022;True;Sim;2012.0;5.0
82;09.01.02 Média anual de extensão de faixas exclusivas de ônibus implantadas (ao longo do período de vigência dos ODSs) (Km);Mobilidade e Segurança no Trânsito,ODS São Paulo;anual;"Gestão Urbana - PMSP; Câmara Municipal de São Paulo - CMSP; CET; Secretaria Municipal de Mobilidade e Transportes (SMT)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
83;Número de mortes de pedestres no trânsito;Mobilidade e Segurança no Trânsito;anual;"Secretaria de Segurança Pública (SSP); Companhia de Engenharia de Tráfego (CET)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
84;Número de novas equipes de Estratégia de Saúde da Família (ESF) implantadas;PPA 2018-2021,Saúde;anual;"Cadastro Nacional de Estabelecimentos de Saúde (CNES); Secretaria Municipal de Saúde (SMS)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
85;Número de mortes de motociclistas no trânsito;Mobilidade e Segurança no Trânsito;anual;"Secretaria de Segurança Pública (SSP); Companhia de Engenharia de Tráfego (CET)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
86;16.10.02 Número de acessos pelo cidadão a processos físicos encerrados;Gestão Pública,ODS São Paulo;anual;"Sistema Municipal de Processos (SIMPROC) / Coordenadoria de Gestão Documental (CGDOC) / Secretaria Municipal de Gestão (SEGES); Secretaria do Governo Municipal (SGM)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
87;04.02.04 Alunos por turma da pré-escola da rede pública municipal;Educação,ODS São Paulo;anual;Secretaria Municipal da Educação (SME);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
88;Proporção de empregos formais na Indústria de Transformação do Município (%);Economia Trabalho e Renda;anual;"Secretaria Municipal do Desenvolvimento Econômico e do Trabalho (SMDET); Relação Anual de Informações Sociais (RAIS)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
89;11.07.02 Parques parcialmentes acessíveis (%);Meio Ambiente,ODS São Paulo;anual;"Secretaria Municipal do Verde e Meio Ambiente (SVMA); CGPABI; DIPO";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
90;05.0c.01 Percentual do orçamento municipal destinado a ações de promoção da igualdade de gênero (%);Direitos Humanos e Cidadania,Finanças Públicas,ODS São Paulo;anual;"Secretaria Municipal da Fazenda (SF); Secretaria Municipal de Direitos Humanos e Cidadania (SMDHC)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
91;Taxa de mortalidade de crianças e adolescentes por causas externas (por 100 mil na mesma faixa etária);Saúde,Segurança e Violência;anual;"Fundação Sistema Estadual de Análise de Dados (SEADE); Sistema de Informação Sobre Mortalidade (SIM); Secretaria Municipal da Saúde (SMS)";False;2018.0;1.0;2022;False;Não;2021.0;-3.0
92;02.01.01 Quantidade de alimentos doados pelo programa Banco de Alimentos (kg);Assistência Social,ODS São Paulo;anual;"Coordenadoria de Segurança alimentar e Nutricional (COSAN); Secretaria Municipal das Subprefeituras (SMSUB)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
93;16.06.04 Nota média de eficiência da Administração Municipal (0 a 10) no atendimento às recomendações de auditoria;Gestão Pública,ODS São Paulo;anual;"Controladoria Geral do Município; Coordenadoria de Auditoria Geral (AUDI)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
94;Preço médio das diárias em hotéis (R$) - fins de semana;Turismo;anual;São Paulo Turismo S/A (SPTuris);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
95;15.05.05 Fauna silvestre (vertebrados) ameaçada (%);Meio Ambiente,ODS São Paulo;anual;Secretaria Municipal do Verde e do Meio Ambiente (SVMA) / Coordenação de Gestão de Parques e Biodiversidade Municipal (CGPABI) / Divisão da Fauna Silvestre (DFS);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
96;Proporção de internações para cirurgias eletivas dentre o total de cirurgias no Sistema Único de Saúde (%);Saúde;anual;"Sistema de Informações Hospitalares do Sistema Único de Saúde (SIHSUS); Secretaria Municipal da Saúde (SMS)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
97;17.03.02 Recursos reembolsáveis investidos em políticas públicas no município por meio de cooperações/parcerias internacionais – (R$);Gestão Pública,ODS São Paulo;anual;Secretaria Municipal de Relações Internacionais (SMRI);False;2019.0;1.0;2022;False;Não;2021.0;-2.0
98;08.03.03 Número de pessoas formalizadas como MEI;Economia Trabalho e Renda,ODS São Paulo,PPA 2018-2021;anual;Secretaria Municipal de Desenvolvimento Econômico, Trabalho e Turismo (SMDET);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
99;Livros disponíveis nos serviços municipais de leitura (por mil habitantes);Cultura,Educação;anual;"Fundação Sistema Estadual de Análise de Dados (SEADE); Secretaria Municipal de Cultura (SMC); Coordenação do Sistema Municipal de Bibliotecas (CSMB); Supervisão de Planejamento (SP); Biblioteca Municipal Mário de Andrade (BMA)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
100;População com deficiência visual (%);Acessibilidade e Pessoa com Deficiência,População;anual;Secretaria Municipal da Pessoa com Deficiência (SMPED);False;2010.0;1.0;2022;False;Não;2021.0;-11.0
101;Número de novas Unidades Básicas de Saúde (UBS) entregues;PPA 2018-2021,Saúde;anual;Secretaria Municipal de Saúde (SMS);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
102;Número de ocorrências atendidas – queda de árvore;Zeladoria;anual;"Defesa Civil - Secretaria de Segurança Urbana (SMSU); Defesa Civil - SMSU - SIGRC";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
103;Variação percentual no número de público frequentador do Sistema Municipal de Bibliotecas (%);Cultura,PPA 2018-2021;anual;"Secretaria Municipal de Cultura (SMC); Coordenadoria do Sistema Municipal de Bibliotecas (CSMB)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
104;08.09.01 Arrecadação de Imposto Sobre Serviços (ISS) de serviços de turismo, hospedagem, eventos e assemelhados (R$);Finanças Públicas,ODS São Paulo,Turismo;anual;São Paulo Turismo S/A (SPTuris);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
